DeviceNo,,[25071720],[25071721],[25071722],[25071723],
DeviceInfo,,[],[],[],[],
DeviceRange,,[20M次],[20M次],[20M次],[20M次],
2025-07-27,19:39:51:357,06278,05245,05352,06622,
2025-07-27,19:39:51:605,06279,05246,05353,06623,
2025-07-27,19:39:51:855,06280,05248,05355,06624,
2025-07-27,19:39:52:104,06282,05250,05356,06625,
2025-07-27,19:39:52:351,06283,05252,05357,06626,
2025-07-27,19:39:52:613,06285,05253,05358,06626,
2025-07-27,19:39:52:863,06286,05254,05360,06627,
2025-07-27,19:39:53:111,06287,05256,05362,06628,
2025-07-27,19:39:53:359,06288,05258,05363,06629,
2025-07-27,19:39:53:609,06289,05259,05364,06630,
2025-07-27,19:39:53:859,06293,05260,05365,06631,
2025-07-27,19:39:54:104,06298,05262,05366,06631,
2025-07-27,19:39:54:354,06320,05264,05366,06632,
2025-07-27,19:39:54:603,06320,05266,05366,06633,
2025-07-27,19:39:54:851,06320,05268,05367,06635,
2025-07-27,19:39:55:111,06320,05269,05368,06636,
2025-07-27,19:39:55:361,06320,05270,05368,06638,
2025-07-27,19:39:55:609,06319,05272,05369,06639,
2025-07-27,19:39:55:856,06279,05272,05373,06643,
2025-07-27,19:39:56:106,06176,05262,05508,06647,
2025-07-27,19:39:56:356,05299,05225,05514,06650,
2025-07-27,19:39:56:603,05352,05225,05554,06656,
2025-07-27,19:39:56:850,05355,05225,05556,06662,
2025-07-27,19:39:57:101,05359,05225,05561,06668,
2025-07-27,19:39:57:349,05394,05225,05590,06670,
2025-07-27,19:39:57:614,05385,05224,05582,06642,
2025-07-27,19:39:57:863,05240,05219,05547,06512,
2025-07-27,19:39:58:111,05239,05186,05545,06515,
2025-07-27,19:39:58:361,05246,05187,05545,06577,
2025-07-27,19:39:58:607,05308,05188,05539,06568,
2025-07-27,19:39:58:856,05300,05187,05403,06376,
2025-07-27,19:39:59:105,05183,05178,05393,06318,
2025-07-27,19:39:59:357,04529,05015,04496,05838,
2025-07-27,19:39:59:602,04523,03211,04302,06029,
2025-07-27,19:39:59:849,04533,03189,03268,06038,
2025-07-27,19:40:00:124,04769,02935,03310,06253,
2025-07-27,19:40:00:373,04801,02928,03312,06274,
2025-07-27,19:40:00:629,05081,02882,03316,06446,
2025-07-27,19:40:00:870,05082,02879,03371,06559,
2025-07-27,19:40:01:118,05065,02890,04016,06560,
2025-07-27,19:40:01:368,05030,03438,04472,06570,
2025-07-27,19:40:01:629,05135,03488,04487,06629,
2025-07-27,19:40:01:873,05137,03907,04834,06634,
2025-07-27,19:40:02:115,05189,04231,04871,06640,
2025-07-27,19:40:02:372,05193,04240,05128,06669,
2025-07-27,19:40:02:629,05249,04437,05253,06670,
2025-07-27,19:40:02:870,05252,04452,05256,06673,
2025-07-27,19:40:03:116,05257,04581,05332,06677,
2025-07-27,19:40:03:370,05306,04679,05338,06681,
2025-07-27,19:40:03:621,05311,04682,05391,06684,
2025-07-27,19:40:03:879,05344,04755,05394,06689,
2025-07-27,19:40:04:127,05347,04761,05444,06693,
2025-07-27,19:40:04:373,05350,04815,05447,06697,
2025-07-27,19:40:04:627,05376,04819,05485,06698,
2025-07-27,19:40:04:875,05378,04862,05488,06701,
2025-07-27,19:40:05:118,05382,04868,05490,06704,
2025-07-27,19:40:05:410,05365,04908,05419,06622,
2025-07-27,19:40:05:652,04815,04855,05398,05930,
2025-07-27,19:40:05:899,04801,04851,05241,05847,
2025-07-27,19:40:06:157,04722,04849,05254,05890,
2025-07-27,19:40:06:402,04761,04853,05391,06263,
2025-07-27,19:40:06:657,05095,04924,05399,06288,
2025-07-27,19:40:06:902,05235,04928,05486,06470,
2025-07-27,19:40:07:160,05236,04967,05491,06476,
2025-07-27,19:40:07:398,05239,04967,05493,06479,
2025-07-27,19:40:07:654,05240,04969,05472,06471,
2025-07-27,19:40:07:907,05229,04968,05349,06410,
2025-07-27,19:40:08:158,05123,04964,05338,06400,
2025-07-27,19:40:08:405,05097,04319,04900,06354,
2025-07-27,19:40:08:648,04973,04298,04177,06360,
2025-07-27,19:40:08:922,04988,03137,04125,06469,
2025-07-27,19:40:09:162,05346,03089,03616,06620,
2025-07-27,19:40:09:418,05335,02906,03637,06631,
2025-07-27,19:40:09:663,05340,02908,03785,06703,
2025-07-27,19:40:09:926,05320,02924,04446,06702,
2025-07-27,19:40:10:173,05261,03486,04484,06702,
2025-07-27,19:40:10:422,05307,03903,04817,06701,
2025-07-27,19:40:10:677,05308,03946,04857,06700,
2025-07-27,19:40:10:921,05313,04275,05144,06699,
2025-07-27,19:40:11:163,05354,04288,05280,06698,
2025-07-27,19:40:11:411,05355,04458,05283,06699,
2025-07-27,19:40:11:673,05356,04586,05374,06699,
2025-07-27,19:40:11:911,05357,04596,05383,06700,
2025-07-27,19:40:12:162,05360,04681,05466,06701,
2025-07-27,19:40:12:412,05363,04688,05531,06703,
2025-07-27,19:40:12:671,05365,04755,05533,06705,
2025-07-27,19:40:12:912,05368,04810,05540,06705,
2025-07-27,19:40:13:163,05369,04815,05591,06706,
2025-07-27,19:40:13:412,05371,04858,05597,06707,
2025-07-27,19:40:13:664,05373,04862,05636,06707,
2025-07-27,19:40:13:913,05374,04907,05639,06707,
2025-07-27,19:40:14:166,05376,04910,05672,06707,
2025-07-27,19:40:14:411,05378,04947,05675,06708,
2025-07-27,19:40:14:665,05380,04948,05679,06709,
2025-07-27,19:40:14:912,05385,04952,05682,06711,
2025-07-27,19:40:15:175,05387,04984,05707,06712,
2025-07-27,19:40:15:419,05391,04986,05710,06714,
2025-07-27,19:40:15:675,05395,04990,05714,06716,
2025-07-27,19:40:15:919,05400,05015,05720,06717,
2025-07-27,19:40:16:162,05402,05016,05742,06719,
2025-07-27,19:40:16:422,05405,05020,05743,06720,
2025-07-27,19:40:16:668,05407,05045,05746,06721,
2025-07-27,19:40:16:914,05411,05046,05750,06723,
2025-07-27,19:40:17:170,05414,05048,05754,06723,
2025-07-27,19:40:17:428,05407,05051,05751,06689,
2025-07-27,19:40:17:685,05381,05044,05531,06115,
2025-07-27,19:40:17:931,05020,05009,05552,06446,
2025-07-27,19:40:18:188,05257,05012,05682,06465,
2025-07-27,19:40:18:432,05269,05055,05719,06589,
2025-07-27,19:40:18:707,05335,05056,05720,06593,
2025-07-27,19:40:18:949,05339,05060,05725,06650,
2025-07-27,19:40:19:195,05368,05082,05746,06647,
2025-07-27,19:40:19:451,05366,05082,05670,06565,
2025-07-27,19:40:19:707,05349,05079,05616,06551,
2025-07-27,19:40:19:951,05051,04669,04785,06398,
2025-07-27,19:40:20:203,05049,04554,04727,06418,
2025-07-27,19:40:20:448,05100,03269,03805,06691,
2025-07-27,19:40:20:724,05688,03235,03870,06702,
2025-07-27,19:40:20:990,05380,02978,03898,06760,
2025-07-27,19:40:21:251,05407,02981,04018,06767,
2025-07-27,19:40:21:498,05590,03010,04023,06771,
2025-07-27,19:40:21:745,05568,03012,04251,06796,
2025-07-27,19:40:22:002,05543,03530,04308,06785,
2025-07-27,19:40:22:248,05359,03581,04811,06740,
2025-07-27,19:40:22:495,05401,03980,05175,06740,
2025-07-27,19:40:22:743,05402,04017,05183,06739,
2025-07-27,19:40:23:001,05404,04297,05362,06739,
2025-07-27,19:40:23:249,05409,04464,05374,06738,
2025-07-27,19:40:23:491,05413,04477,05477,06738,
2025-07-27,19:40:23:749,05419,04585,05548,06738,
2025-07-27,19:40:23:989,05422,04595,05550,06739,
2025-07-27,19:40:24:242,05426,04677,05602,06741,
2025-07-27,19:40:24:490,05428,04744,05607,06742,
2025-07-27,19:40:24:740,05430,04745,05658,06743,
2025-07-27,19:40:24:991,05430,04799,05659,06744,
2025-07-27,19:40:25:247,05431,04804,05664,06745,
2025-07-27,19:40:25:491,05431,04858,05697,06746,
2025-07-27,19:40:25:750,05431,04858,05703,06747,
2025-07-27,19:40:25:991,05434,04865,05731,06747,
2025-07-27,19:40:26:245,05438,04904,05732,06749,
2025-07-27,19:40:26:505,05440,04909,05736,06750,
2025-07-27,19:40:26:761,05445,04939,05741,06752,
2025-07-27,19:40:27:006,05450,04943,05744,06751,
2025-07-27,19:40:27:267,05606,04947,05727,06748,
2025-07-27,19:40:27:506,05639,04987,05536,06745,
2025-07-27,19:40:27:764,06003,04993,05526,06717,
2025-07-27,19:40:28:006,06017,05033,05487,06717,
2025-07-27,19:40:28:256,06126,05037,05488,06718,
2025-07-27,19:40:28:506,06180,05040,05489,06718,
2025-07-27,19:40:28:756,06183,05069,05490,06718,
2025-07-27,19:40:29:005,06187,05071,05493,06719,
